gamma,state,value,sample_variance,sample_std,stderr,ci_lower_95,ci_upper_95,ci_width_95,rank_within_gamma,num_time_steps,num_trajectories,method
0.06,Chat,0.6536225782822891,2.1121747915709435,1.4533323059682337,0.20553222577352406,0.25077941576618196,1.0564657407983962,0.8056863250322143,4,50,50,monte_carlo
0.06,Computer,2.9885234537722214,6.645002046105705,2.5777901478021255,0.25777901478021253,2.4832765848030047,3.493770322741438,1.0104937379384331,1,50,100,monte_carlo
0.06,Coffee,2.203009668107122,0.30246215431942286,0.5499655937596668,0.05499655937596668,2.095216411730227,2.3108029244840167,0.2155865127537894,2,50,100,monte_carlo
0.06,Home,1.0879477889257547,0.0012006088393976403,0.03464980287675011,0.003464980287675011,1.0811564275619117,1.0947391502895978,0.013582722727686042,3,50,100,monte_carlo
0.06,Chat,0.4377276979834738,1.9734015774825548,1.4047781239336534,0.14047781239336535,0.16239118569247768,0.7130642102744699,0.5506730245819922,4,50,100,monte_carlo
0.06,Computer,3.0694024840774925,5.657968560240946,2.3786484734489344,0.10637639362415842,2.8609047525741422,3.2779002155808428,0.416995463006701,1,50,500,monte_carlo
0.06,Coffee,2.188871544304477,0.34012596941156387,0.5832031973605459,0.02608163987986813,2.1377515301399352,2.2399915584690184,0.10224002832908306,2,50,500,monte_carlo
0.06,Home,1.0905645261441295,0.0014189418409162973,0.0376688444329833,0.0016846019357203035,1.0872627063501177,1.0938663459381412,0.00660363958802359,3,50,500,monte_carlo
0.06,Chat,0.26478995931368776,1.9853851685727701,1.4090369649419316,0.06301404872840294,0.14128242380601802,0.3882974948213575,0.2470150710153395,4,50,500,monte_carlo
0.08,Computer,3.8487041338726415,3.7636903279276033,1.9400232802540291,0.6134892279353895,2.646265247119278,5.0511430206260055,2.404877773506727,1,50,10,monte_carlo
0.08,Coffee,1.9839289847622628,0.011383116568041253,0.10669168931102953,0.033738874563389414,1.9178007906180194,2.050057178906506,0.1322563882884865,2,50,10,monte_carlo
0.08,Home,1.0970310704189186,0.00041301480466500706,0.020322765674607553,0.006426622788564823,1.0844348897533316,1.1096272510845056,0.025192361331174105,3,50,10,monte_carlo
0.08,Chat,0.14951840274345665,1.9308984887289649,1.389567734487587,0.4394199004060882,-0.7117446020524762,1.0107814075393895,1.7225260095918657,4,50,10,monte_carlo
0.08,Computer,3.547188580831129,5.655283729361808,2.378084045899515,0.5317557582839045,2.5049472945946762,4.589429867067582,2.084482572472906,1,50,20,monte_carlo
0.08,Coffee,2.314489380362008,0.39723145361678514,0.6302630035285152,0.14093109195929496,2.03826444012179,2.5907143206022263,0.5524498804804362,2,50,20,monte_carlo
0.08,Home,1.1412543396500425,0.00423668466621218,0.0650898199890903,0.014554526213883054,1.1127274682708317,1.1697812110292534,0.057053742758421566,3,50,20,monte_carlo
0.08,Chat,0.19140492020713612,2.1675574263969124,1.4722626893312594,0.329207945408135,-0.4538426527928085,0.8366524932070807,1.2904951459998892,4,50,20,monte_carlo
0.08,Computer,2.5937849532647324,9.556844441678937,3.091414634383252,0.4371920502863458,1.7368885347034948,3.45068137182597,1.7137928371224753,1,50,50,monte_carlo
0.08,Coffee,2.2215744505934674,0.3677301614045592,0.6064075868626309,0.08575898336670733,2.053486843194721,2.3896620579922137,0.33617521479749274,2,50,50,monte_carlo
0.08,Home,1.123582722842753,0.0027179602688230534,0.052134060544168755,0.007372869548314351,1.109131898528057,1.1380335471574492,0.028901648629392256,3,50,50,monte_carlo
0.08,Chat,0.47857166490326364,2.224218954158596,1.491381558877069,0.21091320272370792,0.06518178756479615,0.8919615422417311,0.826779754676935,4,50,50,monte_carlo
0.08,Computer,3.3513487487943867,5.2155630023382145,2.283760714772503,0.2283760714772503,2.903731648698976,3.7989658488897975,0.8952342001908212,1,50,100,monte_carlo
0.08,Coffee,2.135646447661018,0.3524276836103481,0.5936561998415818,0.05936561998415818,2.019289832492068,2.252003062829968,0.23271323033790006,2,50,100,monte_carlo
0.08,Home,1.1273271427692213,0.002663570356241517,0.05160978934506047,0.005160978934506047,1.1172116240575896,1.137442661480853,0.020231037423263706,3,50,100,monte_carlo
0.08,Chat,0.5703523756963401,2.2205439356832493,1.490148964259362,0.14901489642593618,0.2782831787015052,0.862421572691175,0.5841383939896698,4,50,100,monte_carlo
0.08,Computer,2.9581867902227756,7.446999665892338,2.7289191387603147,0.1220409739873649,2.7189864812075406,3.1973870992380107,0.4784006180304704,1,50,500,monte_carlo
0.08,Coffee,2.2218772470027504,0.3490590560789912,0.5908122003471079,0.026421924838247162,2.170090274319786,2.2736642196857146,0.10357394536592887,2,50,500,monte_carlo
